,name,specilities,affiliation
0,"James F. Markmann, MD, PhD","General Surgery, Transplant Surgery",Massachusetts General Hospital
1,"Christina A Jelly, MD",Anesthesiology,Massachusetts General Hospital
2,"Teresa M Bean, MD",Anesthesiology,Massachusetts General Hospital
3,"Anjali J. Kaimal, MD","Maternal and Fetal Medicine, Obstetrics & Gynecology, Reproductive Endocrinology and Infertility",Massachusetts General Hospital
4,"Chizoba C Umeh, MD",Neurology,Brigham and Women's Hospital
5,"Samuel E Lux, MD","Pediatric Hematology, Pediatric Medical Oncology, Pediatrics",Brigham and Women's Hospital
6,"Keith Harold Baker, MD, PhD",Anesthesiology,Massachusetts General Hospital
7,"Henry R Kramer, MD",Internal Medicine,North Shore Medical Center
8,"Jo-Ann Suna, MD",Internal Medicine,Newton-Wellesley Hospital
9,"Irina Natapov, MD",Internal Medicine,North Shore Medical Center
10,"Mariko R. Yasuda, MD","Dermatology, Dermatopathology",Massachusetts General Hospital
11,"Roger V Belizaire, MD, PhD",Pathology,Brigham and Women's Hospital
12,"Julia R Neuringer, MD",Nephrology,Newton-Wellesley Hospital
13,"Monica S Ruehli, MD",Obstetrics & Gynecology,Newton-Wellesley Hospital
14,"Mark A Murakami, MD","Hematology, Medical Oncology",Brigham and Women's Hospital
15,"Rachel M. Huckfeldt, MD, PhD",Ophthalmology,Massachusetts General Hospital
16,"James A Evans, MD",Psychiatry,PCPO - Emerson Physician Hospital Organization
17,"Michael J Vasconcelles, MD","Hematology, Medical Oncology",Brigham and Women's Hospital
18,"Daniel Guss, MD, MBA",Orthopedic Surgery,Massachusetts General Hospital
19,"Jacqueline Suk Danik, MD, DrPH",Cardiology,Massachusetts General Hospital
20,"Pardon R Kenney, MD, MMSc",General Surgery,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
21,"Heather R. Faulkner, MD, MPH","Plastic Surgery, Reconstructive Plastic Surgery",Massachusetts General Hospital
22,"Sandra Benchimol Weinreb, MD",Anesthesiology,Massachusetts General Hospital
23,"Daniel Edward Brown, DPM","Foot and Ankle Surgery, Podiatry",North Shore Medical Center
24,"Jan Leslie Shifren, MD",Reproductive Endocrinology and Infertility,Massachusetts General Hospital
25,"Laurence J. Ronan, MD",Internal Medicine,Massachusetts General Hospital
26,"Jean L Jackson, MD",Pediatric Emergency Medicine,Newton-Wellesley Hospital
27,"Cameron C Trenor, MD","Pediatric Hematology, Pediatric Medical Oncology, Pediatrics",Brigham and Women's Hospital
28,"Jeffrey C Kerner, MD",Psychiatry,Massachusetts General Hospital
29,"Bret A Ancowitz, MD","Gastroenterology, Internal Medicine",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
30,"Yuval Raz, MD",Pulmonary Critical Care,Massachusetts General Hospital
31,"William C. Faquin, MD, PhD","Anatomic Pathology, Clinical and Laboratory Pathology, Pathology",Brigham and Women's HospitalMassachusetts General Hospital
32,"Angela E. Lin, MD",Clinical Cytogenetics,Massachusetts General Hospital
33,"Walter M Kim, MD, PhD",Gastroenterology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
34,"Rajesh Tim Gandhi, MD","Infectious Diseases, Medical Oncology",Massachusetts General Hospital
35,"Martin J Kafina, MD",Rheumatology,PCPO - Emerson Physician Hospital Organization
36,"Lindsay S Baron, MD",Diagnostic Radiology,North Shore Medical CenterPCPO - Pentucket Medical Associates
37,"Miguel J Divo, MD","Pulmonary Critical Care, Pulmonology",Brigham and Women's Hospital
38,"Jill Z Simon, MD",Pediatric Emergency Medicine,Newton-Wellesley Hospital
39,"Karen A. O'Brien, MD",Hospice and Palliative Care,Massachusetts General Hospital
40,"Adrian J. Priesol, MD",Otolaryngology,Massachusetts General Hospital
41,"Sunita Hanjura, MD",Internal Medicine,PCPO - Emerson Physician Hospital Organization
42,"Vithya Balasubramaniam Rodriguez, MD",Psychiatry,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
43,"Sanjay Divakaran, MD","Cardiology, Internal Medicine",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
44,"Salma Batool-Anwar, MD, MPH","Internal Medicine, Pulmonology",Brigham and Women's HospitalMartha's Vineyard HospitalNorth Shore Medical Center
45,"Benjamin Evenchik, MD",Emergency Medicine,Cooley Dickinson Hospital
46,"Jarone Lee, MD, MPH","Critical Care Medicine, Emergency Medicine",Massachusetts General Hospital
47,"Raul Laguarda, MD",Pulmonology,PCPO - Charles River Medical Associates
48,"Bruce Wayne Barlam, MD",Thoracic Surgery,North Shore Medical Center
49,"Lucienne S Sanchez, MD",Neonatology,Brigham and Women's Hospital
50,"Nicole M Benson, MD",Psychiatry,Massachusetts General Hospital
51,"Mark A Tulecke, MD","Anatomic Pathology, Clinical and Laboratory Pathology, Pathology",North Shore Medical Center
52,"Reynold Dahl, MD",Family Medicine,PCPO - Milford Regional Physician Group
53,"George John Philippides, MD",Cardiology,Newton-Wellesley Hospital
54,"Rinaa S Punglia, MD",Radiation Oncology,Brigham and Women's Hospital
55,"Ashwini Nadkarni, MD",Psychiatry,Brigham and Women's Hospital
56,"Timothy J Ernst, MD","Hematology, Medical Oncology",PCPO - Charles River Medical Associates
57,"Julie M. Stanton, MD",Family Medicine,Cooley Dickinson Hospital
58,"Sarah Page Hammond, MD",Infectious Diseases,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
59,"Kristin M Laraja, MD",Pediatric Cardiology,PCPO - Milford Regional Physician Group
60,"Joyce L Prophete, MD",Obstetrics & Gynecology,North Shore Medical Center
61,"Vatche Arakel Minassian, MD, MPH",Obstetrics & Gynecology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
62,"Michael Desmond Murphy, MD",Psychiatry,Massachusetts General Hospital
63,"Todd L. Astor, MD",Pulmonary Critical Care,Massachusetts General Hospital
64,"Puneeta Arya, MBBS, MD",Pediatric Cardiology,Massachusetts General Hospital
65,"Sally J Wang, MD",Hospital Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
66,"Gaurav D Gaiha, MD",Gastroenterology,Massachusetts General Hospital
67,"Gregory William Randolph, MD",Otolaryngology,Massachusetts General Hospital
68,"Louise E Wilkins-Haug, MD, PhD",Maternal and Fetal Medicine,Brigham and Women's Hospital
69,"Matthew Mossanen, MD",Urology,Brigham and Women's HospitalMassachusetts General Hospital
70,"Juan Jaime De Zengotita, MD",Internal Medicine,Brigham and Women's Hospital
71,"Eliza A Jones, MD",Pediatrics,PCPO - Emerson Physician Hospital Organization
72,"Leonard E Freedberg, MD",Psychiatry,Newton-Wellesley Hospital
73,"Lisa Michelle Owens, MD",Internal Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
74,"Junne Kamihara, MD, PhD","Pediatric Hematology, Pediatric Medical Oncology, Pediatrics",Brigham and Women's Hospital
75,"Marianeli Rodriguez, MD, PhD","Ophthalmology:, Vitreoretinal Diseases",Massachusetts General Hospital
76,"Esteban Fabian Gershanik, MD, MPH, MSC","Internal Medicine, Pediatrics",Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
77,"Daniel N Driscoll, MD",Plastic Surgery,Newton-Wellesley Hospital
78,"Rajan S Chahal, MD",General Surgery,Newton-Wellesley Hospital
79,"Janet M Chang, MD",Internal Medicine,Newton-Wellesley Hospital
80,"Marron C Wong, MD","General Surgery:, Minimally Invasive Surgery, Obstetrics & Gynecology",Newton-Wellesley Hospital
81,"Allison F O'Neill, MD","Pediatric Hematology, Pediatric Medical Oncology, Pediatrics",Brigham and Women's Hospital
82,"Carey Michele York-Best, MD",Obstetrics & Gynecology,Massachusetts General Hospital
83,"Daniel R Marcus, DPM",Podiatry,North Shore Medical Center
84,"Jing Luan, MD",Internal Medicine,Massachusetts General HospitalSpaulding Rehabilitation Network
85,"Colin A Sieff, MBBCH","Pediatric Hematology, Pediatric Medical Oncology",Brigham and Women's Hospital
86,"Jeff A Odiet, MD",Internal Medicine,North Shore Medical Center
87,"Chin-Lee Wu, MD, PhD",Anatomic Pathology,Massachusetts General Hospital
88,"Alessandro Biffi, MD",Neurology,Massachusetts General Hospital
89,"Raj K Gopal, MD, PhD","Hematology, Internal Medicine, Medical Oncology",Brigham and Women's HospitalMassachusetts General Hospital
90,"Alison Sisitsky Curcio, MD",Emergency Medicine,Newton-Wellesley Hospital
91,"Eric J Rubin, MD, PhD",Infectious Diseases,Brigham and Women's Hospital
92,"Nancy J. Wei, MD",Endocrinology,Massachusetts General Hospital
93,"Tanya M Laidlaw, MD","Allergy and Immunology, Rheumatology",Brigham and Women's Hospital
94,"Mai P. Hoang, MD","Dermatopathology, Pathology",Massachusetts General Hospital
95,"Nicholas J. Kontos, MD",Psychiatry,Massachusetts General Hospital
96,"Sheila Marian Lawrence, MD, MPH",Internal Medicine,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
97,"John Joseph Costa, MD",Allergy and Immunology,Brigham and Women's HospitalBrigham and Women's Faulkner Hospital
